id,name,genus
myid,Antigonon,<b>Antigonon</b>
myid,Antirrhinum,<b>Antirrhinum</b>
myid,Apera,<b>Apera</b>
myid,Aphelandra,<b>Aphelandra</b>
myid,Aphyllanthes,none
myid,Apium,<b>Apium</b>
myid,Apocynum,<b>Apocynum</b>
myid,Aponogeton,<b>Aponogeton</b>
myid,Apophyllum,<b>Apophyllum</b>
myid,Apodytes,none
myid,Aponogeton,<b>Aponogeton</b>
myid,Aporocactus,<b>Disocactus</b>
myid,Aprevalia,<b>Delonix</b>
myid,Aptenia,<b>Aptenia</b>
myid,Aquilegia,<b>Aquilegia</b>
myid,Arabis,none
myid,Arachis,<b>Arachis</b>
myid,Arachniodes,<b>Arachniodes</b>
myid,Araeococcus,<b>Araeococcus</b>
myid,Araiostegia,<b>Araiostegia</b>
myid,Aralia,<b>Aralia</b>
myid,Araucaria,<b>Araucaria</b>
myid,Araujia,<b>Araujia</b>
myid,Arbutus,<b>Arbutus</b>
myid,Archidendron,<b>Archidendron</b>
myid,Archontophoenix,<b>Archontophoenix</b>
myid,Arctium,<b>Arctium</b>
myid,Arctostaphylos,<b>Arctostaphylos</b>
myid,Arctotheca,<b>Arctotheca</b>
myid,Arctotis,<b>Arctotis</b>
myid,Ardisia,<b>Ardisia</b>
myid,Areca,<b>Areca</b>
myid,Arenga,<b>Arenga</b>
myid,Argemone,<b>Argemone</b>
myid,Argyranthemum,<b>Argyranthemum</b>
myid,Argyreia,Argyreia
myid,Argyroderma,<b>Argyroderma</b>
myid,Ariocarpus,<b>Ariocarpus</b>
myid,Arisaema,<b>Arisaema</b>
myid,Arisarum,<b>Arisarum</b>
myid,Aristea,<b>Aristea</b>
myid,Aristolochia,<b>Aristolochia</b>
myid,Armeria,<b>Armeria</b>
myid,Arnebia,<b>Arnebia</b>
myid,Arnica,<b>Arnica</b>
myid,Aronia,<b>Aronia</b>
myid,Arrhenatherum,<b>Arrhenatherum</b>
myid,Artanema,<b>Artanema</b>
myid,Artabotrys,<b>Artabotrys</b>
myid,Arthrocereus,<b>Arthrocereus</b>
myid,Arthropodium,none
myid,Artocarpus,<b>Artocarpus</b>
myid,Arum,<b>Arum</b>
myid,Aruncus,<b>Aruncus</b>
myid,Arundina,<b>Arundina</b>
myid,Arundinaria,<b>Arundinaria</b>
myid,Arundo,<b>Arundo</b>
myid,Asarina,<b>Asarina</b>
myid,Asarum,<b>Asarum</b>
myid,Asclepias,<b>Asclepias</b>
myid,Ascocenda,<b>Ascocenda</b>
myid,Ascocentrum,<b>Vanda</b>
myid,Asimina,<b>Asimina</b>
myid,Asparagus,none
myid,Asperula,none
myid,Asphodeline,none
myid,Asphodelus,none
myid,Aspidistra,none
myid,Asplenium,<b>Asplenium</b>
myid,Astelia,<b>Astelia</b>
myid,Asteranthera,<b>Asteranthera</b>
myid,Astilbe,<b>Astilbe</b>
myid,Astilboides,<b>Astilboides</b>
myid,Astragalus,<b>Astragalus</b>
myid,Astrantia,<b>Astrantia</b>
myid,Astrophytum,<b>Astrophytum</b>
myid,Asystasia,<b>Asystasia</b>
myid,Athamanta,none
myid,Atherosperma,<b>Atherosperma</b>
myid,Athrotaxis,<b>Athrotaxis</b>
myid,Athyrium,<b>Athyrium</b>
myid,Atriplex,<b>Atriplex</b>
myid,Aubrieta,<b>Aubrieta</b>
myid,Aucuba,<b>Aucuba</b>
myid,Aulax,<b>Aulax </b>
myid,Auranticarpa,<b>Auranticarpa</b>
myid,Aurinia,<b>Aurinia</b>
myid,Austrocedrus,<b>Austrocedrus</b>
myid,Austrocylindropuntia,<b>Austrocylindropuntia</b>
myid,Austrostipa,<b>Austrostipa</b>
myid,Averrhoa,<b>Averrhoa</b>
myid,Avicennia,<b>Avicennia</b>
myid,Azadirachta,<b>Azadirachta</b>
myid,Azalea,none
myid,Azolla,<b>Azolla</b>
myid,Azorella,<b>Azorella</b>
myid,Azorina,<b>Azorina</b>
myid,Aztekium,<b>Aztekium</b>
myid,Babiana,none
myid,Baccharis,<b>Baccharis</b>
myid,Backhousia,<b>Backhousia</b>
myid,Bacopa,<b>Bacopa</b>
myid,Bactris,<b>Bactris</b>
myid,Baeckea,<b>Baeckea</b>
myid,Baikiaea,<b>Baikiaea</b>
myid,Ballota,<b>Ballota</b>
myid,Balsamorhiza,<b>Balsamorhiza</b>
myid,Bambusa,<b>Bambusa</b>
myid,Banksia,<b>Banksia</b>
myid,Baptisia,<b>Baptisia</b>
myid,Barbarea,<b>Barbarea</b>
myid,Barkeria,<b>Barkeria</b>
myid,Barleria,<b>Barleria</b>
myid,Barklya,<b>Barklya</b>
myid,Barnadesia,<b>Barnadesia</b>
myid,Barringtonia,<b>Barringtonia</b>
myid,Bartlettina,<b>Bartlettina</b>
myid,Basselinia,<b>Basselinia</b>
myid,Bassia,<b>Bassia</b>
myid,Bauera,<b>Bauera</b>
myid,Bauhinia,<b>Bauhinia</b>
myid,Baumea,<b>Baumea</b>
myid,Beallara,<b>Beallara</b>
myid,Beaucarnea,none
myid,Beaumontia,<b>Beaumontia</b>
myid,Beccariella,<b>Beccariella</b>
myid,Bedfordia,<b>Bedfordia</b>
myid,Begonia,none
myid,Belamcanda,Iris
myid,Bellevalia,none
myid,Bellis,<b>Bellis</b>
myid,Bellium,<b>Bellium</b>
myid,Berberidopsis,<b>Berberidopsis</b>
myid,Berberis,<b>Berberis</b>
myid,Berchemia,<b>Berchemia</b>
myid,Bergenia,<b>Bergenia</b>
myid,Bergerocactus,<b>Bergerocactus</b>
myid,Berkheya,<b>Berkheya</b>
myid,Berlandiera,<b>Berlandiera</b>
myid,Berrya,<b>Berrya</b>
myid,Bertolonia,<b>Bertolonia</b>
myid,Berzelia,<b>Berzelia</b>
myid,Beschorneria,none
myid,Bessera,none
myid,Betula,<b>Betula</b>
myid,Biarum,<b>Biarum</b>
myid,Bidens,<b>Bidens</b>
myid,Bignonia,<b>Bignonia</b>
myid,Bikkia,none
myid,Billardiera,<b>Billardiera</b>
myid,Billbergia,<b>Billbergia</b>
myid,Bischofia,<b>Bischofia</b>
myid,Bismarckia,<b>Bismarckia</b>
myid,Bixa,<b>Bixa</b>
myid,Blandfordia,none
myid,Blechnum,<b>Blechnum</b>
myid,Bletilla,<b>Bletilla</b>
myid,Blighia,<b>Blighia</b>
myid,Bloomeria,none
myid,Blossfeldia,<b>Blossfeldia</b>
myid,Bocconia,<b>Bocconia</b>
myid,Boenninghausenia,<b>Boenninghausenia</b>
myid,Bolax,<b>Bolax</b>
myid,Bolbitis,<b>Bolbitis</b>
myid,Pescatoria,<b>Pescatoria</b>
myid,Boltonia,<b>Boltonia</b>
myid,Bolusanthus,<b>Bolusanthus</b>
myid,Bomarea,<b>Bomarea</b>
myid,Bombax,<b>Bombax</b>
myid,Bongardia,<b>Bongardia</b>
myid,Boophone,none
myid,Borago,Borago
myid,Borassodendron,<b>Borassodendron</b>
myid,Borassus,<b>Borassus</b>
myid,Boronia,<b>Boronia</b>
myid,Bossiaea,<b>Bossiaea</b>
myid,Bothriochloa,<b>Bothriochloa</b>
myid,Bougainvillea,<b>Bougainvillea</b>
myid,Bouteloua,<b>Bouteloua</b>
myid,Bouvardia,none
myid,Bowenia,<b>Bowenia</b>
myid,Bowiea,none
myid,Bowkeria,<b>Bowkeria</b>
myid,Boykinia,<i>nom. cons.</i>
myid,Brabejum,<b>Brabejum</b>
myid,Brachychiton,<b>Brachychiton</b>
myid,Brachyglottis,<b>Brachyglottis</b>
myid,Brachylaena,<b>Brachylaena</b>
myid,Brachypodium,<b>Brachypodium</b>
myid,Brachyscome,<b>Brachyscome</b>
myid,Brachysema,Homona
myid,Brachystelma,<b>Brachystelma</b>
myid,Bracteantha,<b>Xerochrysum</b>
myid,Brahea,<b>Brahea</b>
myid,Brassavola,<b>Brassavola</b>
myid,Brassaia,none
myid,Brassia,<b>Brassia</b>
myid,Brassica,<b>Brassica</b>
myid,Brassidium,<b>Brassidium</b>
myid,Brassocattleya,<b>Brassocattleya</b>
myid,Brassolaeliocattleya,<b>Brassolaeliocattleya</b>
myid,Breynia,<b>Breynia</b>
myid,Briggsia,<b>Briggsia</b>
myid,Brillantaisia,<b>Brillantaisia</b>
myid,Brimeura,none
myid,Briza,<b>Briza</b>
myid,Brodiaea,none
myid,Bromelia,<b>Bromelia</b>
myid,Broughtonia,<b>Broughtonia</b>
myid,Broussonetia,<b>Broussonetia</b>
myid,Browallia,<b>Browallia</b>
myid,Brownea,<b>Brownea</b>
myid,Browningia,<b>Browningia</b>
myid,Bruckenthalia,<b>Bruckenthalia</b>
myid,Brugmansia,<b>Brugmansia</b>
myid,Brunfelsia,<b>Brunfelsia</b>
myid,Brunnera,<b>Brunnera</b>
myid,Brunsvigia,none
myid,Brya,<b>Brya</b>
myid,Buckinghamia,<b>Buckinghamia</b>
myid,Buddleja,<b>Buddleja</b>
myid,Buglossoides,<b>Buglossoides</b>
myid,Bulbine,none
myid,Bulbinella,none
myid,Bulbocodium,Colchicum
myid,Bulbophyllum,<b>Bulbophyllum</b>
myid,Bulnesia,<b>Bulnesia</b>
myid,Bunchosia,<b>Bunchosia</b>
myid,Buphthalmum,<b>Buphthalmum</b>
myid,Bupleurum,<b>Bupleurum</b>
myid,Burchardia,<b>Burchardia</b>
myid,Burchellia,none
myid,Burrageara,<b>Burrageara</b>
myid,Burretiokentia,<b>Burretiokentia</b>
s,k,i,p,p,e,d
myid,Bursera,<b>Bursera</b>
myid,Burtonia,<b>Burtonia</b>
myid,Butea,<b>Butea</b>
myid,Butia,<b>Butia</b>
myid,Butomus,<b>Butomus</b>
myid,Buxus,<b>Buxus</b>
myid,Byrsonima,<b>Byrsonima</b>
myid,Bystropogon,<b>Bystropogon</b>
myid,Cabomba,<b>Cabomba</b>
myid,Cadia,none
myid,Caesalpinia,<b>Caesalpinia</b>
myid,Caladium,<b>Caladium</b>
myid,Calamagrostis,<b>Calamagrostis</b>
myid,Calamintha,<b>Calamintha</b>
myid,Calandrinia,<b>Calandrinia</b>
myid,Calanthe,<b>Calanthe</b>
myid,Calathea,<b>Calathea</b>
myid,Calceolaria,<b>Calceolaria</b>
myid,Calendula,<b>Calendula</b>
myid,Calibanus,none
myid,Calibrachoa,<b>Calibrachoa</b>
myid,Calla,<b>Calla</b>
myid,Calliandra,<b>Calliandra</b>
myid,Callianthemum,<b>Callianthemum</b>
myid,Callicarpa,<b>Callicarpa</b>
myid,Callicoma,<b>Callicoma</b>
myid,Callisia,<b>Callisia</b>
myid,Callistemon,<b>Callistemon</b>
myid,Callistephus,<b>Callistephus</b>
myid,Callitriche,<b>Callitriche</b>
myid,Callitris,<b>Callitris</b>
myid,Calluna,none
myid,Calocedrus,<b>Calocedrus</b>
myid,Calochone,none
